2019-10-18 11:16:21,072: 'k'
2019-10-18 11:16:21,478: 'a'
2019-10-18 11:16:21,950: 'r'
2019-10-18 11:16:22,262: 't'
2019-10-18 11:16:23,234: 'i'
2019-10-18 11:16:23,390: 'k'
2019-10-18 11:16:23,609: Key.space
2019-10-18 11:16:23,909: 'w'
2019-10-18 11:16:24,081: 'a'
2019-10-18 11:16:24,221: 's'
2019-10-18 11:16:24,425: Key.space
2019-10-18 11:16:24,737: 'h'
2019-10-18 11:16:25,021: 'e'
2019-10-18 11:16:25,177: 'r'
2019-10-18 11:16:25,318: 'e'
2019-10-18 11:16:25,490: Key.space
2019-10-18 11:16:25,709: 'a'
2019-10-18 11:16:26,384: 'n'
2019-10-18 11:16:26,618: 'd'
2019-10-18 11:16:26,800: Key.space
2019-10-18 11:16:27,064: 'u'
2019-10-18 11:16:27,174: Key.space
2019-10-18 11:16:27,361: 'g'
2019-10-18 11:16:27,752: 'o'
2019-10-18 11:16:28,070: 't'
2019-10-18 11:16:28,273: Key.space
2019-10-18 11:16:28,476: 'H'
2019-10-18 11:16:28,902: 'a'
2019-10-18 11:16:29,506: 'c'
2019-10-18 11:16:29,930: 'k'
2019-10-18 11:16:30,712: 'e'
2019-10-18 11:16:30,949: 'd'

